Genre,ResolvedTrackCount,TSOccurrenceCount,ArtistOccurrenceCount
phleng phuea chiwit,132,60,273
son cubano,132,56,195
experimental pop,132,9,296
german composer,132,0,433
rock roll,132,0,188
icelandic rock,131,131,0
indie liguria,131,131,0
lithuanian trap,131,108,145
villancicos,131,35,175
chopped and screwed,131,0,216
pop-metal,131,0,195
orchestral pop,131,0,191
abbey road,131,0,187
adult alternative pop rock,131,0,187
bbc,131,0,187
boys band,131,0,187
british psychedelia,131,0,187
europe,131,0,187
get back,131,0,187
instrumental pop,131,0,187
one beatles,131,0,187
overrated,131,0,187
the beatles-primal colours,131,0,187
the-beatles,131,0,187
tribute albums,131,0,187
ukrainian viral pop,130,130,0
reggae fusion,130,92,69
gengetone,130,41,148
avant-garde pop,130,0,384
rock music,130,0,254
independent artist,130,0,236
hard bop,129,3,593
