Genre,TrackCount
"argentine hip hop, bases de freestyle, trap argentino, trap latino, urbano latino",37
"argentine hip hop, r&b argentino, trap argentino, trap latino, urbano latino",37
"alt z, electropop, pop",37
"colombian pop, latin pop, vallenato",37
scandipop,37
"argentine indie, trap argentino",37
"australian dance, australian electropop, australian indie, downtempo, edm, indietronica",37
cuarteto,37
"t-pop, thai pop, thai rock",37
greek pop,37
"hk-pop, hong kong hip hop",37
"chanson, french pop",37
"russian hip hop, russian viral rap",37
canadian pop,37
deep tropical house,37
"bulgarian hip hop, bulgarian pop, chalga",37
"dembow dominicano, trap dominicano",37
childrens music,37
"russian dance, russian hip hop, russian pop",37
"mandopop, singaporean mandopop, singaporean pop, singaporean singer-songwriter",37
"indie viet, rock viet, v-pop",37
"j-pop, anime, j-rock",37
"mahraganat, egyptian pop, egyptian shaabi, egyptian hip hop",37
"malay, malay pop, malaysian pop",37
"popular colombian music, ranchera, vallenato",37
"reggaeton, urbano latino, trap latino, argentine trap",37
"dancehall, soca, riddim",37
agronejo,36
"desi pop, filmi, gujarati pop, modern bollywood",36
forro,36
"dancefloor dnb, drum and bass, uk dance",36
turkish trap,36
"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",36
"hip hop, north carolina hip hop, pop rap, rap, trap",36
pop edm,36
"pop, pop r&b",36
"uk drill, uk hip hop",36
chill r&b,36
"v-pop, vietnamese idol pop, vietnamese melodic rap",36
"german hip hop, kurdish hip hop",36
"latin hip hop, rap latina, reggaeton, trap latino, urbano latino",36
"kavkaz, russian emo rap, russian grime, russian hip hop, russian trap",36
"c-pop, cantopop, classic cantopop",36
"italian pop, trap italiana",36
"norwegian hip hop, norwegian pop, norwegian pop rap",36
"polish alternative, polish pop",36
"manele, romanian trap",36
epadunk,36
"mahraganat, egyptian pop, egyptian shaabi",36
"dance pop, edm, electro house, moombahton, pop, pop dance",35
"british soul, pop, pop soul, uk pop",35
"pop venezolano, reggaeton, trap latino, urbano latino",35
"indie viet, rock viet, v-pop, vietnamese singer-songwriter",35
"rap canario, urbano espanol",35
australian indie,35
"latin viral pop, urbano mexicano",35
"cloud rap, german cloud rap, german hip hop, phonk",35
israeli rock,35
"basshall, turkish hip hop, turkish trap",35
"agronejo, arrocha, forro, piseiro, sertanejo universitario",35
"anime, classic j-pop, j-pop, japanese singer-songwriter",35
"cantopop, hk-pop, hong kong indie",35
"khaliji, sheilat",35
taiwan pop,35
dansk pop,35
"egyptian hip hop, arabic hip hop, mahraganat, egyptian pop",35
"crunk, southern hip hop",35
latin,35
"belgian dance, belgian edm, big room, dutch house, edm, electro house, pop dance, progressive electro house",34
"pop, viral pop",34
gym phonk,34
sertanejo pop,34
rock uruguayo,34
"drill chileno, urbano chileno, urbano latino",34
funk carioca,34
"bergamo indie, italian indie pop, italian pop, milan indie",34
"emo rap italiano, italian hip hop",34
viet chill rap,34
la pop,34
"j-pop, j-rock, visual kei",34
"funk carioca, sertanejo, sertanejo pop, sertanejo universitario",34
lithuanian trap,34
"dutch hip hop, rap belge",34
"czech hip hop, czsk hip hop, czsk reggae",34
"cantautor, latin arena pop, spanish indie pop, spanish pop, spanish rock",34
"hungarian indie, hungarian pop, hungarian rock, magyar alternative",34
"hungarian edm, hungarian hip hop, hungarian pop, magyar trap",34
"funk carioca, italian hip hop, italian pop",34
"dutch hip hop, dutch trap",34
"nz pop, nz reggae",34
"afro soul, south african pop, south african pop dance",34
"ukrainian pop, ukrainian rock",34
russian alt pop,34
gospel,34
brazilian funk,34
"v-pop, vietnam indie",34
"cumbia, cumbia sonidera, salsa",34
"chilean trap, reggaeton chileno, chilean mambo",34
"neo-psychedelic, indie",34
"reggaeton chileno, reggaeton, neoperreo, trap latino",34
"funk carioca, funk rj",33
"australian pop, pop, viral pop",33
"pagode, pagode novo, sertanejo universitario",33
"desi pop, modern bollywood",33
"hip hop, pop rap, rap, southern hip hop, trap",33
"bachata, latin pop, tropical",33
"r&b en espanol, reggaeton, trap latino, urbano latino",33
"brazilian hip hop, trap brasileiro",33
"classic swedish pop, swedish alternative rock, swedish indie rock, swedish pop",33
"pop dance, tropical house",33
"norwegian pop rap, norwegian trap",33
tollywood,33
