Genres,GenreCount,TrackCount
"egyptian hip hop, egyptian pop, egyptian trap",1,65
"classic israeli pop, israeli rock",1,65
"hip hop, pop rap, southern hip hop, trap",1,64
"2010s, 2020s, alt-pop, alternative pop, alternative r&b, art pop, bedroom pop, contemporary r&b, dark pop, downtempo, electronic, electronica, electropop, englisch, english, indie pop, indietronica, late 2010s, leftfield, lo-fi, los angeles, nepo baby, pity pop, pop, pop rock, pop soul, progressive pop, queer, sad girl pop, singer-songwriter, teen pop, trap, usa",1,64
electro house,1,64
"hip pop, pop, queens hip hop, rap",1,64
"banda, musica mexicana, norteno",1,64
"latin, merengue, salsa",1,64
"frauenrap, german hip hop, german pop",1,64
"finnish dance pop, finnish hip hop, finnish pop, finnish trap",1,64
"corrido, corridos tumbados, corridos belicos, musica mexicana, sad sierreno, sierreno, banda",1,64
latin afrobeats,1,64
"bachata, merengue",1,64
"2020s, dance-pop, female vocals, pop, pop rock",1,63
"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",1,63
"italian hip hop, italian pop, trap italiana, trap latino",1,63
ukrainian viral pop,1,63
cumbia peruana,1,63
"israeli hip hop, israeli trap",1,63
"classic swedish pop, swedish pop, swedish singer-songwriter",1,63
"finnish dance pop, finnish pop, suomi rock",1,63
"arabic hip hop, moroccan rap",1,63
indie,1,63
"french rap, french r&b, french pop, pop urbaine",1,63
"reggaeton, trap latino, dembow, urbano latino",1,63
"dance pop, miami hip hop, pop",1,62
"indonesian pop, indonesian pop rock",1,62
"agronejo, arrocha, pop nacional, sertanejo, sertanejo universitario",1,62
"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",1,62
"drill francais, french hip hop, pop urbaine, r&b francais, rap francais",1,62
"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",1,62
"turkish deep house, turkish pop",1,62
"french hip hop, french pop, r&b francais, rap conscient",1,62
"salsa, salsa puertorriquena, tropical",1,62
"arrocha, forro",1,62
5th gen k-pop,1,62
"danish pop, danish pop rock",1,62
"egyptian pop, khaleeji, mahraganat",1,62
"turkish pop, t-pop",1,62
pop dance,1,61
"dfw rap, melodic rap, pop, rap",1,61
colombian pop,1,61
"hip hop, melodic rap, philly rap, rage rap, rap",1,61
"desi hip hop, pakistani hip hop, punjabi hip hop, punjabi pop",1,61
southern hip hop,1,61
"basshall, pop urbaine, r&b francais",1,61
"cloud rap francais, french hip hop, pop urbaine, rap conscient",1,61
"banda, corrido, musica mexicana, norteno, sierreno",1,61
"drill francais, french hip hop, pop urbaine",1,61
"mandopop, singaporean mandopop, singaporean pop",1,61
"italian trap, concerto",1,61
trap argentino,1,60
"hip hop, pop rap",1,60
"indie pop rap, oakland hip hop, pop rap, rap",1,60
"cloud rap, experimental hip hop, hip hop, pop rap, rage, rage rap, trap",1,60
lustrum,1,60
"v-pop, vietnam indie, vietnamese hip hop",1,60
"malay, malay pop, malaysian pop",1,60
"israeli mediterranean, mizrahi",1,60
grupera,1,60
"lithuanian hip hop, lithuanian trap",1,60
"chicha, cumbia",1,60
"brazilian funk, trap funk, funk consciente",1,60
"hip hop, west coast hip hop",1,60
slap house,1,59
"pop, r&b",1,59
"hip hop, miami hip hop, pop rap, rap",1,59
"girl group, pop, talent show, uk pop",1,59
"k-pop, korean r&b",1,59
"alt z, norwegian pop, pop, uk pop",1,59
"classic italian pop, italian adult pop",1,59
has german audiobooks,1,59
korean pop,1,59
"egyptian pop, mahraganat",1,59
"khaleeji iraqi, khaliji",1,59
"russian alt pop, russian hip hop",1,59
afropop,1,59
"alternative, alternative metal, alternative rock, american, americain, art rock, experimental rock, hard alternative, metal, new metal, nu metal, post-metal, rap metal, rock, rock and indie, shoegaze, stoner metal, stoner rock, usa",1,59
"2020s, alternative pop, electropop, nepo baby, pop",1,58
"j-pop, japanese singer-songwriter, japanese teen pop",1,58
epadunk,1,58
dutch rap pop,1,58
"romanian rap, romanian trap",1,58
"russian emo rap, russian hip hop, russian trap",1,58
