RawGenre,NormalizedGenre,Reason,ResolvedTrackCount,TSOccurrenceCount,ArtistOccurrenceCount
smurf music,smurf music,below_min_track_count,4,0,5
software as artist,software as artist,below_min_track_count,4,0,7
solo project,solo project,below_min_track_count,4,0,7
sound engineer,sound engineer,below_min_track_count,4,0,9
soviet synthpop,soviet synthpop,below_min_track_count,4,4,0
space age pop,space age pop,below_min_track_count,4,0,7
space rock revival,space rock revival,below_min_track_count,4,0,5
spaghetti western,spaghetti western,below_min_track_count,4,0,6
spam,spam,below_min_track_count,4,0,24
spanish punk,spanish punk,below_min_track_count,4,4,0
speed garage,speed garage,below_min_track_count,4,0,12
springfield mo indie,springfield mo indie,below_min_track_count,4,4,0
srso,srso,below_min_track_count,4,0,4
stoner,stoner,below_min_track_count,4,0,11
stop breaking our rating mechanism,stop breaking our rating mechanism,below_min_track_count,4,0,24
stop breaking our rating mechanism seriously,stop breaking our rating mechanism seriously,below_min_track_count,4,0,24
strawberry,strawberry,below_min_track_count,4,0,24
summer song,summer song,below_min_track_count,4,0,4
summernightbrand,summernightbrand,below_min_track_count,4,0,4
summernightbrand record sales office,summernightbrand record sales office,below_min_track_count,4,0,4
summernightbrand record sales office (srso,summernightbrand record sales office (srso,below_min_track_count,4,0,4
support ppop,support ppop,below_min_track_count,4,0,24
supremo,supremo,below_min_track_count,4,0,18
svensk progg,svensk progg,below_min_track_count,4,4,0
swag,swag,below_min_track_count,4,0,24
sylvester,sylvester,below_min_track_count,4,0,24
taiwanese indigenous music,taiwanese indigenous music,below_min_track_count,4,4,0
tamazight,tamazight,below_min_track_count,4,4,0
tape music,tape music,below_min_track_count,4,0,14
technical death metal,technical death metal,below_min_track_count,4,0,5
television composer,television composer,below_min_track_count,4,0,12
tex-mex,tex-mex,below_min_track_count,4,0,16
thank you,thank you,below_min_track_count,4,0,5
the queen,the queen,below_min_track_count,4,0,7
the scarlet and the black,the scarlet and the black,below_min_track_count,4,0,6
to go,to go,below_min_track_count,4,0,4
tramp pa en smurf,tramp pa en smurf,below_min_track_count,4,0,5
trance brasileiro,trance brasileiro,below_min_track_count,4,4,0
trap beats,trap beats,below_min_track_count,4,4,0
trending,trending,below_min_track_count,4,0,24
tuna,tuna,below_min_track_count,4,4,0
uk dnb,uk dnb,below_min_track_count,4,4,0
uk reggae,uk reggae,below_min_track_count,4,4,0
ukrainian phonk,ukrainian phonk,below_min_track_count,4,4,0
umk 2025,umk 2025,below_min_track_count,4,0,76
unbreakable sb19,unbreakable sb19,below_min_track_count,4,0,24
urban folk,urban folk,below_min_track_count,4,0,21
us power metal,us power metal,below_min_track_count,4,0,5
uwielbienie,uwielbienie,below_min_track_count,4,4,0
uyghur pop,uyghur pop,below_min_track_count,4,4,0
venezuelan indie,venezuelan indie,below_min_track_count,4,4,0
vietnam,vietnam,below_min_track_count,4,0,9
vintage cantonese pop,vintage cantonese pop,below_min_track_count,4,4,0
viral pop brasileiro,viral pop brasileiro,below_min_track_count,4,4,0
vocalists and dancers,vocalists and dancers,below_min_track_count,4,0,24
vtuber,vtuber,below_min_track_count,4,0,4
waiata maori,waiata maori,below_min_track_count,4,4,0
weezer,weezer,below_min_track_count,4,0,7
west bengali pop,west bengali pop,below_min_track_count,4,4,0
western swing,western swing,below_min_track_count,4,3,2
why is there so many tags,why is there so many tags,below_min_track_count,4,0,24
wigan,wigan,below_min_track_count,4,0,4
wolof,wolof,below_min_track_count,4,0,4
world domination,world domination,below_min_track_count,4,0,24
world pop,world pop,below_min_track_count,4,0,18
you guys suck,you guys suck,below_min_track_count,4,0,24
young artist,young artist,below_min_track_count,4,0,24
yuck,yuck,below_min_track_count,4,0,22
zoo,zoo,below_min_track_count,4,0,6
đole,đole,below_min_track_count,4,0,4
गजल,गजल,below_min_track_count,4,0,7
에스비19,에스비19,below_min_track_count,4,0,24
葉加瀬太郎,葉加瀬太郎,below_min_track_count,4,0,20
