Genre,TrackCount,PrimaryFamily,PrimaryWeight,PrimaryConfidence,Reason
old school rap francais,154,hip_hop,0.45,fallback,untrusted_fallback
post-bop,154,,0.0,,no_primary_family
singers,154,,0.0,,no_primary_family
pop flamenco,153,pop,0.45,fallback,untrusted_fallback
crunk,152,,0.0,,no_primary_family
nova mpb,152,brazilian,0.45,fallback,untrusted_fallback
russian dance,152,,0.0,,no_primary_family
glitch,151,,0.0,,no_primary_family
luk thung,151,,0.0,,no_primary_family
mellow gold,150,,0.0,,no_primary_family
taiwanese indie,150,,0.0,,no_primary_family
australian dance,149,,0.0,,no_primary_family
basshall,149,,0.0,,no_primary_family
reggea,149,,0.0,,no_primary_family
travis scott,149,,0.0,,no_primary_family
folk-rock,148,country_folk,0.45,fallback,untrusted_fallback
g-house,148,house,0.45,fallback,untrusted_fallback
game,148,,0.0,,no_primary_family
mambo chileno,148,latin_tropical,0.45,fallback,untrusted_fallback
russian grime,148,hip_hop,0.45,fallback,untrusted_fallback
guitarist,147,,0.0,,no_primary_family
seresta,147,,0.0,,no_primary_family
glam,146,,0.0,,no_primary_family
singaporean mandopop,146,pop,0.45,fallback,untrusted_fallback
funk ostentacao,144,,0.0,,no_primary_family
australia,143,,0.0,,no_primary_family
german dance,143,,0.0,,no_primary_family
liverpool,143,,0.0,,no_primary_family
mbs-333,143,,0.0,,no_primary_family
stomp and holler,143,,0.0,,no_primary_family
dream-pop,142,pop,0.45,fallback,untrusted_fallback
future rave,141,,0.0,,no_primary_family
los angeles,141,,0.0,,no_primary_family
psychedelic folk,141,country_folk,0.45,fallback,untrusted_fallback
gnawa,140,,0.0,,no_primary_family
noise music,140,,0.0,,no_primary_family
soundtracks,140,soundtrack_stage,0.45,fallback,untrusted_fallback
trap antillais,140,hip_hop,0.45,fallback,untrusted_fallback
australian,139,,0.0,,no_primary_family
jazz fusion,139,jazz_blues,0.45,fallback,untrusted_fallback
psychedelia,139,,0.0,,no_primary_family
vietnamese singer-songwriter,139,country_folk,0.45,fallback,untrusted_fallback
progressive,138,,0.0,,no_primary_family
ghazal,137,,0.0,,no_primary_family
pop edm,137,electronic,0.45,fallback,untrusted_fallback
video game music,137,,0.0,,no_primary_family
complextro,136,,0.0,,no_primary_family
drill italiana,136,hip_hop,0.45,fallback,untrusted_fallback
has german audio plays,136,,0.0,,no_primary_family
beat,135,,0.0,,no_primary_family
indian,135,,0.0,,no_primary_family
death by heart attack,134,,0.0,,no_primary_family
slowcore,134,,0.0,,no_primary_family
outlaw country,133,country_folk,0.45,fallback,untrusted_fallback
visual kei,133,,0.0,,no_primary_family
belgian edm,132,electronic,0.45,fallback,untrusted_fallback
german composer,132,,0.0,,no_primary_family
phleng phuea chiwit,132,,0.0,,no_primary_family
rock roll,132,rock,0.45,fallback,untrusted_fallback
son cubano,132,,0.0,,no_primary_family
trap maroc,132,hip_hop,0.45,fallback,untrusted_fallback
abbey road,131,,0.0,,no_primary_family
bbc,131,,0.0,,no_primary_family
boys band,131,,0.0,,no_primary_family
british psychedelia,131,,0.0,,no_primary_family
chopped and screwed,131,,0.0,,no_primary_family
europe,131,,0.0,,no_primary_family
get back,131,,0.0,,no_primary_family
indie liguria,131,,0.0,,no_primary_family
one beatles,131,,0.0,,no_primary_family
overrated,131,,0.0,,no_primary_family
pop-metal,131,metal,0.45,fallback,untrusted_fallback
the beatles-primal colours,131,,0.0,,no_primary_family
the-beatles,131,,0.0,,no_primary_family
villancicos,131,,0.0,,no_primary_family
gengetone,130,,0.0,,no_primary_family
reggae fusion,130,caribbean,0.45,fallback,untrusted_fallback
hard bop,129,,0.0,,no_primary_family
asian,128,,0.0,,no_primary_family
post-emo,128,rock,0.45,fallback,untrusted_fallback
vietnamese lo-fi,128,,0.0,,no_primary_family
+usa (new york:manhatten,127,,0.0,,no_primary_family
next,127,,0.0,,no_primary_family
pop. alternative,127,pop,0.45,fallback,untrusted_fallback
seattle,127,,0.0,,no_primary_family
dutch,126,,0.0,,no_primary_family
harana,126,,0.0,,no_primary_family
indonesian singer-songwriter,126,country_folk,0.45,fallback,untrusted_fallback
mollywood,126,,0.0,,no_primary_family
canadian contemporary r & b,125,,0.0,,no_primary_family
gaana,125,,0.0,,no_primary_family
uk funky,125,,0.0,,no_primary_family
national folk,124,country_folk,0.45,fallback,untrusted_fallback
southern thai music,124,,0.0,,no_primary_family
jam band,123,,0.0,,no_primary_family
japanese,123,,0.0,,no_primary_family
pop virale italiano,123,pop,0.45,fallback,untrusted_fallback
